"Target","Evidence"
"A1CF","predicted (intersection) + predicted (union)"
"A4GALT","predicted (union)"
"A4GNT","predicted (union)"
"AAGAB","predicted (union)"
"AAK1","predicted (intersection) + predicted (union)"
"AARS","predicted (union)"
"ABCA1","predicted (intersection) + predicted (union)"
"ABCA5","predicted (intersection) + predicted (union)"
"ABCA6","predicted (union)"
"ABCB11","predicted (intersection) + predicted (union)"
"ABCB8","predicted (union)"
"ABCC11","predicted (union)"
"ABCC12","predicted (union)"
"ABCC5","predicted (intersection) + predicted (union)"
"ABCF1","predicted (union)"
"ABCF2","predicted (intersection) + predicted (union)"
"ABCF3","experimental (all) + predicted (intersection) + predicted (union)"
"ABCG1","predicted (union)"
"ABCG2","predicted (union)"
"ABCG5","predicted (union)"
"ABHD13","predicted (intersection) + predicted (union)"
"ABHD16B","predicted (union)"
"ABHD17C","predicted (union)"
"ABHD5","predicted (union)"
"ABHD6","predicted (intersection) + predicted (union)"
"ABI1","predicted (union)"
"ABL2","predicted (intersection) + predicted (union)"
"ABLIM3","predicted (intersection) + predicted (union)"
"ABR","predicted (union)"
"ABRA","predicted (intersection) + predicted (union)"
"ABRACL","predicted (intersection) + predicted (union)"
"ABRAXAS2","predicted (union)"
"ABT1","predicted (intersection) + predicted (union)"
"ABTB2","predicted (intersection) + predicted (union)"
"ACACB","predicted (union)"
"ACAD8","predicted (union)"
"ACADSB","predicted (union)"
"ACAP2","predicted (intersection) + predicted (union)"
"ACBD3","predicted (intersection) + predicted (union)"
"ACER2","predicted (union)"
"ACER3","predicted (intersection) + predicted (union)"
"ACO1","predicted (intersection) + predicted (union)"
"ACOT11","predicted (union)"
"ACOT13","predicted (union)"
"ACOT2","predicted (intersection) + predicted (union)"
"ACOX1","predicted (intersection) + predicted (union)"
"ACOX3","predicted (union)"
"ACP1","predicted (union)"
"ACSBG1","predicted (union)"
"ACSF2","predicted (intersection) + predicted (union)"
"ACSM2A","predicted (intersection) + predicted (union)"
"ACSM2B","predicted (intersection) + predicted (union)"
"ACSM6","predicted (union)"
"ACSS3","predicted (intersection) + predicted (union)"
"ACTG1","predicted (union)"
"ACTN2","predicted (union)"
"ACTR10","predicted (intersection) + predicted (union)"
"ACTR1B","predicted (union)"
"ACTR2","predicted (union)"
"ACTR8","predicted (union)"
"ACTRT3","predicted (union)"
"ACVR1C","predicted (union)"
"ACVR2A","predicted (union)"
"ACVR2B","predicted (intersection) + predicted (union)"
"ADAL","predicted (union)"
