"Target","Evidence"
"A1CF","predicted (intersection) + predicted (union)"
"A2ML1","predicted (union)"
"A4GNT","predicted (intersection) + predicted (union)"
"AADAT","predicted (union)"
"AAGAB","predicted (union)"
"AAK1","predicted (intersection) + predicted (union)"
"AAR2","predicted (union)"
"AARD","predicted (union)"
"AARS2","predicted (union)"
"AARSD1","predicted (intersection) + predicted (union)"
"AASDH","predicted (union)"
"ABAT","predicted (union)"
"ABCA1","predicted (intersection) + predicted (union)"
"ABCA4","predicted (union)"
"ABCA5","predicted (union)"
"ABCA6","predicted (union)"
"ABCA8","predicted (union)"
"ABCB1","predicted (union)"
"ABCB11","predicted (intersection) + predicted (union)"
"ABCB5","predicted (intersection) + predicted (union)"
"ABCB8","predicted (union)"
"ABCC1","predicted (union)"
"ABCC3","predicted (intersection) + predicted (union)"
"ABCC5","predicted (intersection) + predicted (union)"
"ABCC9","predicted (union)"
"ABCD2","experimental (all) + predicted (intersection) + predicted (union)"
"ABCD3","predicted (union)"
"ABCE1","predicted (intersection) + predicted (union)"
"ABCF1","predicted (intersection) + predicted (union)"
"ABCF2","predicted (union)"
"ABCF3","predicted (intersection) + predicted (union)"
"ABCG1","predicted (intersection) + predicted (union)"
"ABCG2","predicted (union)"
"ABCG8","experimental (all)"
"ABHD10","predicted (intersection) + predicted (union)"
"ABHD12","predicted (union)"
"ABHD13","predicted (union)"
"ABHD15","predicted (intersection) + predicted (union)"
"ABHD16B","predicted (union)"
"ABHD17B","predicted (union)"
"ABHD18","predicted (intersection) + predicted (union)"
"ABHD2","predicted (union)"
"ABHD3","predicted (intersection) + predicted (union)"
"ABHD5","predicted (intersection) + predicted (union)"
"ABHD6","predicted (intersection) + predicted (union)"
"ABI1","predicted (intersection) + predicted (union)"
"ABI3","predicted (union)"
"ABI3BP","predicted (union)"
"ABL1","predicted (union)"
"ABL2","predicted (intersection) + predicted (union)"
"ABLIM1","predicted (union)"
"ABRAXAS1","predicted (union)"
"ABRAXAS2","predicted (intersection) + predicted (union)"
"ABT1","predicted (union)"
"ABTB2","predicted (union)"
"ACAD8","predicted (union)"
"ACADL","predicted (union)"
"ACADSB","predicted (intersection) + predicted (union)"
"ACBD3","predicted (intersection) + predicted (union)"
"ACBD5","experimental (all) + predicted (intersection) + predicted (union)"
"ACBD7","predicted (intersection) + predicted (union)"
"ACER2","predicted (intersection) + predicted (union)"
"ACER3","predicted (intersection) + predicted (union)"
"ACHE","predicted (union)"
"ACO1","predicted (intersection) + predicted (union)"
"ACOT11","predicted (intersection) + predicted (union)"
"ACOT13","predicted (union)"
"ACOT2","predicted (intersection) + predicted (union)"
"ACOT4","predicted (union)"
"ACOT9","predicted (intersection) + predicted (union)"
"ACOX1","predicted (intersection) + predicted (union)"
"ACP1","predicted (union)"
"ACP2","predicted (intersection) + predicted (union)"
"ACP6","experimental (all)"
"ACPP","predicted (union)"
"ACSL3","predicted (intersection) + predicted (union)"
"ACSL4","experimental (all) + predicted (intersection) + predicted (union)"
"ACSL6","predicted (intersection) + predicted (union)"
"ACSM5","predicted (union)"
"ACTL6A","predicted (union)"
"ACTL7A","predicted (union)"
"ACTN2","predicted (union)"
"ACTR1A","predicted (union)"
"ACTR1B","predicted (union)"
"ACTR2","predicted (union)"
"ACTR3","predicted (union)"
"ACTR3B","predicted (union)"
"ACTR5","predicted (union)"
"ACTR8","predicted (intersection) + predicted (union)"
"ACTRT3","predicted (union)"
"ACVR1","experimental (all) + predicted (intersection) + predicted (union)"
"ACVR1B","predicted (intersection) + predicted (union)"
"ACVR1C","predicted (intersection) + predicted (union)"
"ACVR2A","predicted (intersection) + predicted (union)"
"ACVR2B","predicted (union)"
"ACVRL1","predicted (union)"
"ADA2","predicted (union)"
"ADAL","predicted (union)"
"ADAM10","predicted (intersection) + predicted (union)"
"ADAM11","predicted (intersection) + predicted (union)"
"ADAM12","predicted (intersection) + predicted (union)"
"ADAM19","predicted (union)"
"ADAM22","predicted (intersection) + predicted (union)"
"ADAM23","predicted (intersection) + predicted (union)"
"ADAM28","predicted (intersection) + predicted (union)"
"ADAM33","predicted (union)"
"ADAM7","predicted (union)"
"ADAM9","predicted (intersection) + predicted (union)"
"ADAMTS15","predicted (intersection) + predicted (union)"
"ADAMTS17","predicted (union)"
"ADAMTS18","predicted (intersection) + predicted (union)"
"ADAMTS19","predicted (intersection) + predicted (union)"
"ADAMTS2","predicted (union)"
"ADAMTS20","predicted (union)"
"ADAMTS3","predicted (union)"
"ADAMTS4","predicted (intersection) + predicted (union)"
"ADAMTS5","predicted (intersection) + predicted (union)"
"ADAMTS8","predicted (union)"
"ADAMTSL3","predicted (intersection) + predicted (union)"
"ADARB1","predicted (intersection) + predicted (union)"
"ADARB2","experimental (all) + predicted (intersection) + predicted (union)"
"ADAT1","predicted (intersection) + predicted (union)"
"ADAT2","predicted (union)"
"ADCY1","predicted (intersection) + predicted (union)"
"ADCY2","predicted (intersection) + predicted (union)"
"ADCY4","predicted (union)"
"ADCY5","predicted (union)"
"ADCY9","predicted (union)"
"ADCYAP1","predicted (union)"
"ADCYAP1R1","predicted (intersection) + predicted (union)"
"ADD2","predicted (intersection) + predicted (union)"
"ADD3","predicted (union)"
"ADGRA3","predicted (union)"
"ADGRB3","predicted (intersection) + predicted (union)"
"ADGRE1","predicted (union)"
"ADGRE2","predicted (intersection) + predicted (union)"
"ADGRF5","predicted (intersection) + predicted (union)"
"ADGRG5","predicted (union)"
"ADGRG6","predicted (union)"
"ADGRG7","predicted (union)"
"ADGRL1","predicted (union)"
"ADGRL3","predicted (intersection) + predicted (union)"
"ADH1B","predicted (union)"
"ADH5","predicted (intersection) + predicted (union)"
"ADI1","predicted (union)"
"ADIPOR2","predicted (union)"
"ADK","predicted (intersection) + predicted (union)"
"ADM2","experimental (all) + predicted (intersection) + predicted (union)"
"ADNP2","predicted (union)"
"ADO","predicted (union)"
"ADORA1","predicted (union)"
"ADRA1A","predicted (intersection) + predicted (union)"
"ADRA2A","predicted (union)"
"ADRB1","predicted (union)"
"ADRB3","predicted (union)"
"ADRM1","predicted (union)"
"AEBP2","predicted (union)"
"AEN","predicted (union)"
"AFAP1L1","predicted (intersection) + predicted (union)"
"AFDN","predicted (union)"
"AFF1","predicted (intersection) + predicted (union)"
"AFF2","predicted (union)"
"AFF3","predicted (union)"
"AFF4","predicted (intersection) + predicted (union)"
"AFG1L","predicted (union)"
"AFG3L2","predicted (intersection) + predicted (union)"
"AGAP1","predicted (intersection) + predicted (union)"
"AGBL1","predicted (union)"
"AGBL2","predicted (union)"
"AGBL4","predicted (union)"
"AGBL5","predicted (intersection) + predicted (union)"
"AGFG1","predicted (intersection) + predicted (union)"
"AGL","predicted (intersection) + predicted (union)"
"AGMAT","predicted (union)"
"AGMO","predicted (union)"
"AGO1","predicted (intersection) + predicted (union)"
"AGO2","predicted (intersection) + predicted (union)"
"AGO3","experimental (all) + predicted (intersection) + predicted (union)"
"AGO4","predicted (intersection) + predicted (union)"
"AGPAT3","predicted (intersection) + predicted (union)"
"AGPAT4","predicted (intersection) + predicted (union)"
"AGPAT5","predicted (union)"
"AGPS","predicted (union)"
"AGR2","predicted (union)"
"AGRN","predicted (intersection) + predicted (union)"
"AGTPBP1","predicted (intersection) + predicted (union)"
"AGTR2","predicted (union)"
"AGTRAP","predicted (union)"
"AGXT","predicted (union)"
"AHCTF1","predicted (union)"
"AHCY","predicted (union)"
"AHCYL2","predicted (union)"
"AHDC1","predicted (intersection) + predicted (union)"
"AHI1","predicted (intersection) + predicted (union)"
"AHR","predicted (union)"
"AHRR","predicted (intersection) + predicted (union)"
"AICDA","predicted (intersection) + predicted (union)"
"AIDA","predicted (intersection) + predicted (union)"
"AIFM1","predicted (union)"
"AIG1","predicted (intersection) + predicted (union)"
"AIPL1","predicted (intersection) + predicted (union)"
"AIRE","predicted (union)"
"AJAP1","predicted (intersection) + predicted (union)"
"AJUBA","predicted (union)"
"AK2","predicted (intersection) + predicted (union)"
"AK3","predicted (union)"
"AK4","predicted (intersection) + predicted (union)"
"AK5","predicted (union)"
"AK9","predicted (union)"
"AKAIN1","predicted (union)"
"AKAP1","predicted (intersection) + predicted (union)"
"AKAP10","predicted (union)"
"AKAP11","predicted (intersection) + predicted (union)"
"AKAP13","predicted (union)"
"AKAP2","predicted (union)"
"AKAP5","predicted (intersection) + predicted (union)"
"AKAP7","predicted (intersection) + predicted (union)"
"AKAP8","predicted (union)"
"AKAP9","predicted (union)"
"AKIRIN1","predicted (intersection) + predicted (union)"
"AKIRIN2","experimental (all) + predicted (union)"
"AKNA","predicted (intersection) + predicted (union)"
"AKR1D1","predicted (union)"
"AKR7A2","predicted (intersection) + predicted (union)"
"AKT2","predicted (union)"
"AKTIP","predicted (union)"
"ALCAM","predicted (union)"
"ALDH1L2","predicted (intersection) + predicted (union)"
"ALDH2","predicted (union)"
"ALDH3A2","predicted (intersection) + predicted (union)"
"ALDH3B2","predicted (union)"
"ALDH5A1","predicted (intersection) + predicted (union)"
"ALDH6A1","predicted (intersection) + predicted (union)"
"ALG1","predicted (union)"
"ALG10","predicted (union)"
"ALG10B","predicted (union)"
"ALG13","predicted (intersection) + predicted (union)"
"ALG14","predicted (intersection) + predicted (union)"
"ALG2","predicted (intersection) + predicted (union)"
"ALG6","predicted (intersection) + predicted (union)"
"ALG9","predicted (union)"
"ALKBH1","predicted (intersection) + predicted (union)"
"ALKBH4","predicted (intersection) + predicted (union)"
"ALKBH5","predicted (union)"
"ALOX5AP","predicted (union)"
"ALPK3","predicted (intersection) + predicted (union)"
"ALPP","predicted (union)"
"ALS2CL","predicted (union)"
"ALX1","predicted (intersection) + predicted (union)"
"ALX3","predicted (union)"
"ALX4","predicted (intersection) + predicted (union)"
"AMACR","predicted (union)"
"AMBRA1","predicted (union)"
"AMD1","predicted (union)"
"AMER1","predicted (intersection) + predicted (union)"
"AMER2","predicted (intersection) + predicted (union)"
"AMER3","predicted (intersection) + predicted (union)"
"AMIGO1","predicted (union)"
"AMIGO2","predicted (union)"
"AMMECR1","predicted (intersection) + predicted (union)"
