"Target","Evidence"
"A1CF","predicted (intersection) + predicted (union)"
"A2M","predicted (union)"
"AADAC","predicted (union)"
"AAGAB","predicted (intersection) + predicted (union)"
"AAK1","predicted (intersection) + predicted (union)"
"AARD","predicted (union)"
"ABAT","predicted (union)"
"ABCA1","predicted (union)"
"ABCA5","predicted (intersection) + predicted (union)"
"ABCA6","predicted (union)"
"ABCA8","predicted (union)"
"ABCA9","predicted (intersection) + predicted (union)"
"ABCB10","predicted (union)"
"ABCB11","predicted (union)"
"ABCB5","predicted (union)"
"ABCC1","predicted (intersection) + predicted (union)"
"ABCC10","predicted (intersection) + predicted (union)"
"ABCC11","predicted (union)"
"ABCC5","predicted (intersection) + predicted (union)"
"ABCC6","predicted (intersection) + predicted (union)"
"ABCC9","predicted (intersection) + predicted (union)"
"ABCD2","predicted (intersection) + predicted (union)"
"ABCD4","predicted (union)"
"ABCF1","predicted (intersection) + predicted (union)"
"ABCF3","predicted (intersection) + predicted (union)"
"ABCG2","predicted (intersection) + predicted (union)"
"ABHD17A","predicted (intersection) + predicted (union)"
"ABHD17B","predicted (union)"
"ABHD17C","predicted (union)"
"ABHD18","predicted (union)"
"ABHD2","predicted (union)"
"ABHD4","predicted (intersection) + predicted (union)"
"ABI1","predicted (union)"
"ABITRAM","predicted (intersection) + predicted (union)"
"ABL2","predicted (intersection) + predicted (union)"
"ABLIM1","predicted (intersection) + predicted (union)"
"ABLIM2","predicted (union)"
"ABLIM3","predicted (union)"
"ACAA2","predicted (union)"
"ACAD10","predicted (union)"
"ACAD8","predicted (union)"
"ACADL","predicted (intersection) + predicted (union)"
"ACADSB","predicted (union)"
"ACBD3","predicted (union)"
"ACBD7","predicted (intersection) + predicted (union)"
"ACER3","predicted (intersection) + predicted (union)"
"ACKR3","predicted (intersection) + predicted (union)"
"ACLY","predicted (union)"
"ACO1","predicted (intersection) + predicted (union)"
"ACOT13","predicted (union)"
"ACOT2","predicted (intersection) + predicted (union)"
"ACOT9","predicted (union)"
"ACOX1","predicted (intersection) + predicted (union)"
"ACOX3","predicted (union)"
"ACP1","predicted (union)"
"ACP7","predicted (union)"
"ACRBP","predicted (union)"
"ACSL3","predicted (union)"
"ACSM2A","predicted (intersection) + predicted (union)"
"ACSM2B","predicted (intersection) + predicted (union)"
"ACTA2","predicted (union)"
"ACTBL2","experimental (all) + predicted (intersection) + predicted (union)"
"ACTC1","predicted (intersection) + predicted (union)"
"ACTN2","predicted (intersection) + predicted (union)"
"ACTR1A","predicted (union)"
"ACTR2","predicted (union)"
"ACTR3","predicted (union)"
"ACTR3C","predicted (union)"
"ACTR8","predicted (union)"
"ACTRT3","predicted (intersection) + predicted (union)"
"ACVR1B","predicted (intersection) + predicted (union)"
"ACVR1C","predicted (intersection) + predicted (union)"
"ACVR2B","predicted (union)"
"ACVRL1","predicted (intersection) + predicted (union)"
"ACYP1","predicted (union)"
"ADAD1","predicted (union)"
"ADAM11","predicted (union)"
"ADAM12","predicted (intersection) + predicted (union)"
"ADAM17","predicted (intersection) + predicted (union)"
"ADAM19","predicted (intersection) + predicted (union)"
"ADAM23","predicted (union)"
"ADAM28","predicted (union)"
"ADAM7","predicted (intersection) + predicted (union)"
"ADAM9","predicted (union)"
"ADAMTS12","predicted (union)"
"ADAMTS14","predicted (union)"
"ADAMTS15","predicted (union)"
"ADAMTS16","predicted (union)"
"ADAMTS18","predicted (union)"
"ADAMTS3","predicted (intersection) + predicted (union)"
"ADAMTS4","predicted (intersection) + predicted (union)"
"ADAMTS8","predicted (union)"
"ADAP2","predicted (union)"
"ADARB1","predicted (union)"
"ADAT1","predicted (union)"
"ADAT2","predicted (intersection) + predicted (union)"
"ADCY1","predicted (intersection) + predicted (union)"
"ADCY2","predicted (intersection) + predicted (union)"
"ADCY5","predicted (intersection) + predicted (union)"
"ADCY9","predicted (intersection) + predicted (union)"
"ADCYAP1R1","predicted (intersection) + predicted (union)"
"ADD1","predicted (union)"
"ADD2","predicted (intersection) + predicted (union)"
"ADGRA3","predicted (intersection) + predicted (union)"
"ADGRB3","predicted (union)"
"ADGRD2","predicted (union)"
"ADGRE2","predicted (union)"
"ADGRE3","predicted (union)"
"ADGRE5","predicted (union)"
"ADGRF5","predicted (union)"
"ADGRG2","predicted (union)"
"ADGRG5","predicted (intersection) + predicted (union)"
"ADGRG6","predicted (intersection) + predicted (union)"
"ADGRL2","predicted (intersection) + predicted (union)"
"ADGRL3","predicted (intersection) + predicted (union)"
"ADGRL4","predicted (union)"
"ADH5","predicted (intersection) + predicted (union)"
"ADH6","predicted (intersection) + predicted (union)"
"ADHFE1","predicted (union)"
"ADI1","predicted (union)"
"ADIPOR2","predicted (union)"
"ADM2","predicted (union)"
"ADO","predicted (union)"
"ADPRHL1","predicted (intersection) + predicted (union)"
"ADRA1A","predicted (intersection) + predicted (union)"
"ADRB3","predicted (union)"
"ADSS","predicted (union)"
"AEBP2","predicted (intersection) + predicted (union)"
"AEN","predicted (intersection) + predicted (union)"
"AFAP1L1","predicted (union)"
"AFAP1L2","predicted (intersection) + predicted (union)"
"AFF1","predicted (intersection) + predicted (union)"
"AFF2","predicted (intersection) + predicted (union)"
"AFF3","predicted (union)"
"AFF4","predicted (union)"
"AFP","predicted (intersection) + predicted (union)"
"AGAP1","predicted (intersection) + predicted (union)"
"AGAP2-AS1","predicted (union)"
"AGBL2","predicted (union)"
"AGBL4","predicted (union)"
"AGBL5","predicted (intersection) + predicted (union)"
"AGFG1","predicted (union)"
"AGL","predicted (union)"
"AGMAT","predicted (intersection) + predicted (union)"
"AGMO","predicted (union)"
"AGO1","predicted (intersection) + predicted (union)"
"AGO2","predicted (intersection) + predicted (union)"
"AGO3","predicted (intersection) + predicted (union)"
"AGO4","predicted (intersection) + predicted (union)"
"AGPAT3","predicted (intersection) + predicted (union)"
"AGPAT4","predicted (intersection) + predicted (union)"
"AGPS","predicted (union)"
"AGR2","predicted (union)"
"AGTPBP1","predicted (union)"
"AGTRAP","predicted (intersection) + predicted (union)"
"AHCTF1","predicted (union)"
"AHCYL2","predicted (union)"
"AHDC1","predicted (union)"
"AHI1","predicted (union)"
"AHRR","predicted (intersection) + predicted (union)"
"AHSG","predicted (union)"
"AIDA","predicted (union)"
"AIFM1","predicted (union)"
"AIFM2","predicted (union)"
"AIG1","predicted (intersection) + predicted (union)"
"AIMP1","predicted (union)"
"AJAP1","predicted (intersection) + predicted (union)"
"AK4","predicted (intersection) + predicted (union)"
"AK5","predicted (intersection) + predicted (union)"
"AK9","predicted (intersection) + predicted (union)"
"AKAP1","predicted (intersection) + predicted (union)"
"AKAP10","predicted (intersection) + predicted (union)"
"AKAP11","predicted (intersection) + predicted (union)"
"AKAP12","predicted (union)"
"AKAP13","predicted (union)"
"AKAP6","predicted (intersection) + predicted (union)"
"AKAP8","experimental (all) + predicted (intersection) + predicted (union)"
"AKIRIN1","predicted (union)"
"AKNA","predicted (union)"
"AKR1C1","predicted (union)"
"AKR7A2","predicted (intersection) + predicted (union)"
"AKT2","predicted (intersection) + predicted (union)"
"ALB","predicted (union)"
"ALDH1L2","predicted (intersection) + predicted (union)"
"ALDH4A1","predicted (union)"
"ALDH5A1","predicted (intersection) + predicted (union)"
"ALDH6A1","predicted (union)"
"ALDH7A1","predicted (intersection) + predicted (union)"
"ALG1","predicted (union)"
"ALG10B","experimental (all) + predicted (intersection) + predicted (union)"
"ALG12","predicted (union)"
"ALG13","predicted (union)"
"ALG14","predicted (intersection) + predicted (union)"
"ALG2","predicted (union)"
"ALG5","predicted (union)"
"ALG6","predicted (union)"
"ALG9","predicted (intersection) + predicted (union)"
"ALKBH5","predicted (intersection) + predicted (union)"
"ALKBH8","predicted (union)"
"ALOX12-AS1","predicted (intersection) + predicted (union)"
"ALOX5AP","predicted (union)"
"ALPI","predicted (union)"
"ALPK3","predicted (union)"
"ALPP","predicted (intersection) + predicted (union)"
"ALX1","predicted (intersection) + predicted (union)"
"ALX4","predicted (intersection) + predicted (union)"
"AMACR","predicted (union)"
"AMD1","predicted (union)"
"AMDHD2","predicted (union)"
"AMER2","predicted (intersection) + predicted (union)"
"AMER3","predicted (union)"
"AMIGO1","predicted (intersection) + predicted (union)"
"AMMECR1","predicted (union)"
"AMMECR1L","predicted (intersection) + predicted (union)"
"AMN","predicted (union)"
"AMOT","predicted (union)"
"AMOTL2","predicted (intersection) + predicted (union)"
"AMPH","predicted (intersection) + predicted (union)"
"AMT","predicted (intersection) + predicted (union)"
"AMZ1","predicted (intersection) + predicted (union)"
"ANAPC10","predicted (union)"
"ANAPC11","predicted (union)"
"ANAPC13","predicted (union)"
"ANG","predicted (intersection) + predicted (union)"
"ANGEL1","predicted (union)"
"ANGPT2","predicted (union)"
"ANGPT4","predicted (union)"
"ANGPTL2","predicted (intersection) + predicted (union)"
"ANGPTL3","predicted (intersection) + predicted (union)"
"ANK2","predicted (intersection) + predicted (union)"
"ANKDD1B","predicted (union)"
"ANKEF1","predicted (intersection) + predicted (union)"
"ANKFY1","predicted (intersection) + predicted (union)"
"ANKH","predicted (intersection) + predicted (union)"
"ANKHD1","predicted (union)"
"ANKHD1-EIF4EBP3","predicted (union)"
"ANKIB1","predicted (union)"
"ANKMY2","predicted (union)"
"ANKRD12","predicted (intersection) + predicted (union)"
"ANKRD20A2","predicted (union)"
"ANKRD20A4","predicted (union)"
"ANKRD22","predicted (union)"
"ANKRD28","predicted (intersection) + predicted (union)"
"ANKRD29","predicted (union)"
"ANKRD30BL","predicted (union)"
