"Target","Evidence"
"A1BG","experimental (all) + predicted (intersection) + predicted (union)"
"A1CF","predicted (union)"
"AADAC","predicted (union)"
"AAGAB","predicted (intersection) + predicted (union)"
"AAK1","predicted (intersection) + predicted (union)"
"AARD","predicted (union)"
"AARS2","predicted (union)"
"AASDH","predicted (union)"
"AATK","predicted (intersection) + predicted (union)"
"ABAT","predicted (intersection) + predicted (union)"
"ABCA1","predicted (union)"
"ABCA12","predicted (union)"
"ABCA5","predicted (intersection) + predicted (union)"
"ABCA6","predicted (intersection) + predicted (union)"
"ABCB10","predicted (intersection) + predicted (union)"
"ABCB11","predicted (intersection) + predicted (union)"
"ABCB5","predicted (union)"
"ABCB8","predicted (intersection) + predicted (union)"
"ABCC1","predicted (intersection) + predicted (union)"
"ABCC11","predicted (union)"
"ABCC12","predicted (intersection) + predicted (union)"
"ABCC3","predicted (union)"
"ABCC5","predicted (intersection) + predicted (union)"
"ABCC6","predicted (union)"
"ABCC9","predicted (union)"
"ABCD2","predicted (union)"
"ABCD4","predicted (intersection) + predicted (union)"
"ABCE1","predicted (intersection) + predicted (union)"
"ABCF1","predicted (intersection) + predicted (union)"
"ABCG1","predicted (intersection) + predicted (union)"
"ABCG2","predicted (intersection) + predicted (union)"
"ABHD10","predicted (intersection) + predicted (union)"
"ABHD15","predicted (intersection) + predicted (union)"
"ABHD17A","predicted (union)"
"ABHD17B","predicted (union)"
"ABHD18","predicted (intersection) + predicted (union)"
"ABHD2","predicted (union)"
"ABHD4","predicted (intersection) + predicted (union)"
"ABHD5","predicted (union)"
"ABL1","predicted (intersection) + predicted (union)"
"ABL2","predicted (intersection) + predicted (union)"
"ABLIM1","predicted (union)"
"ABLIM2","predicted (union)"
"ABLIM3","predicted (union)"
"ABRACL","predicted (union)"
"ABRAXAS1","predicted (union)"
"ABRAXAS2","predicted (intersection) + predicted (union)"
"ABT1","predicted (union)"
"ACAD8","predicted (intersection) + predicted (union)"
"ACADL","predicted (intersection) + predicted (union)"
"ACADSB","predicted (intersection) + predicted (union)"
"ACADVL","predicted (union)"
"ACBD4","predicted (intersection) + predicted (union)"
"ACBD5","predicted (intersection) + predicted (union)"
"ACER2","predicted (intersection) + predicted (union)"
"ACER3","predicted (union)"
"ACKR3","predicted (union)"
"ACMSD","predicted (union)"
"ACO1","predicted (intersection) + predicted (union)"
