"Target","Evidence"
"A1CF","predicted (union)"
"A2ML1","predicted (union)"
"AADACL2","predicted (union)"
"AADAT","predicted (union)"
"AAK1","predicted (intersection) + predicted (union)"
"AASDH","predicted (union)"
"ABCA12","predicted (union)"
"ABCA6","predicted (union)"
"ABCA9","predicted (union)"
"ABCB11","predicted (union)"
"ABCC1","predicted (union)"
"ABCC5","predicted (intersection) + predicted (union)"
"ABCD4","predicted (union)"
"ABCF1","predicted (union)"
"ABCF3","predicted (union)"
"ABCG2","predicted (union)"
"ABHD15","predicted (union)"
"ABHD17A","predicted (intersection) + predicted (union)"
"ABHD18","predicted (union)"
"ABHD2","predicted (union)"
"ABHD5","predicted (intersection) + predicted (union)"
"ABHD6","predicted (union)"
"ABITRAM","predicted (union)"
"ABL1","predicted (union)"
"ABL2","predicted (union)"
"ABLIM1","predicted (union)"
"ABLIM3","predicted (intersection) + predicted (union)"
"ABRACL","predicted (union)"
"ABRAXAS2","predicted (union)"
"ACAD10","predicted (union)"
"ACADSB","predicted (union)"
"ACBD7","predicted (union)"
"ACKR4","predicted (union)"
"ACO1","predicted (union)"
"ACOD1","predicted (union)"
"ACOT11","predicted (union)"
"ACOT13","predicted (union)"
"ACOT2","predicted (intersection) + predicted (union)"
"ACOX1","predicted (union)"
"ACOX3","predicted (union)"
"ACP1","predicted (union)"
"ACPP","predicted (union)"
"ACSF3","predicted (union)"
"ACSL3","predicted (union)"
"ACSL4","predicted (union)"
"ACSL6","predicted (union)"
"ACSM2A","predicted (union)"
"ACSM2B","predicted (union)"
"ACSM4","predicted (union)"
"ACSS3","predicted (union)"
"ACTC1","predicted (union)"
"ACTN2","predicted (union)"
"ACTR1A","predicted (union)"
"ACTR3","predicted (union)"
"ACTR3B","predicted (union)"
"ACTR5","predicted (union)"
"ACTR8","predicted (union)"
"ACTRT3","predicted (intersection) + predicted (union)"
"ACVR1C","predicted (union)"
"ACVR2B","predicted (union)"
"ACVRL1","predicted (union)"
"ACYP2","predicted (union)"
"ADAM22","predicted (union)"
"ADAM23","predicted (intersection) + predicted (union)"
"ADAM28","predicted (union)"
"ADAM30","predicted (union)"
"ADAM7","predicted (intersection) + predicted (union)"
"ADAMDEC1","predicted (union)"
"ADAMTS1","predicted (union)"
"ADAMTS12","predicted (union)"
"ADAMTS19","predicted (union)"
"ADAMTS2","predicted (union)"
"ADAMTS20","predicted (union)"
"ADAMTS3","predicted (union)"
"ADAMTS4","predicted (union)"
"ADAMTS5","predicted (intersection) + predicted (union)"
"ADAMTSL3","predicted (union)"
"ADAP1","predicted (union)"
"ADAT1","predicted (union)"
"ADAT2","predicted (union)"
"ADCK2","predicted (union)"
"ADCY1","predicted (union)"
"ADCY3","predicted (union)"
"ADCY8","predicted (union)"
"ADCY9","predicted (union)"
"ADCYAP1","predicted (union)"
"ADCYAP1R1","predicted (intersection) + predicted (union)"
"ADD2","predicted (union)"
"ADGRA3","predicted (union)"
