"Target","Evidence"
"A1CF","predicted (union)"
"A4GALT","predicted (union)"
"AADAC","predicted (union)"
"AAGAB","predicted (union)"
"AAK1","predicted (intersection) + predicted (union)"
"AAR2","predicted (intersection) + predicted (union)"
"AARD","predicted (intersection) + predicted (union)"
"AASDH","predicted (union)"
"AASDHPPT","predicted (union)"
"AATK","predicted (union)"
"ABCA1","predicted (union)"
"ABCA12","predicted (intersection) + predicted (union)"
"ABCA9","predicted (union)"
"ABCB11","predicted (intersection) + predicted (union)"
"ABCB8","predicted (union)"
"ABCB9","predicted (union)"
"ABCC1","predicted (union)"
"ABCC3","predicted (union)"
"ABCC5","predicted (union)"
"ABCC9","predicted (union)"
"ABCE1","predicted (union)"
"ABCF1","predicted (union)"
"ABCF2","predicted (union)"
"ABCF3","predicted (intersection) + predicted (union)"
"ABCG1","predicted (intersection) + predicted (union)"
"ABCG2","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"ABHD13","predicted (intersection) + predicted (union)"
"ABHD15","predicted (union)"
"ABHD16A","predicted (union)"
"ABHD17C","predicted (union)"
"ABHD18","predicted (union)"
"ABHD2","predicted (union)"
"ABHD3","predicted (union)"
"ABHD5","predicted (intersection) + predicted (union)"
"ABI1","predicted (union)"
"ABI3BP","predicted (union)"
"ABITRAM","predicted (intersection) + predicted (union)"
"ABL2","predicted (union)"
"ABLIM1","predicted (union)"
"ABLIM2","predicted (union)"
"ABLIM3","predicted (union)"
"ABR","predicted (intersection) + predicted (union)"
"ABRACL","predicted (intersection) + predicted (union)"
"ABRAXAS2","predicted (union)"
"ABT1","predicted (union)"
"ABTB2","predicted (union)"
"ACAA2","predicted (union)"
"ACACB","predicted (union)"
"ACAD9","predicted (intersection) + predicted (union)"
"ACADM","predicted (intersection) + predicted (union)"
"ACADSB","predicted (union)"
"ACAP2","predicted (union)"
"ACBD3","predicted (union)"
"ACBD5","predicted (union)"
"ACBD7","predicted (union)"
"ACCS","predicted (union)"
"ACER3","predicted (union)"
"ACHE","experimental (strong) + experimental (all) + predicted (union)"
"ACKR3","predicted (union)"
"ACO1","predicted (union)"
"ACO2","predicted (intersection) + predicted (union)"
"ACOT13","predicted (union)"
"ACOX1","predicted (union)"
"ACP1","predicted (intersection) + predicted (union)"
"ACP2","predicted (intersection) + predicted (union)"
"ACP5","predicted (union)"
"ACSBG1","predicted (intersection) + predicted (union)"
"ACSF3","predicted (union)"
"ACSL3","predicted (union)"
"ACSL4","experimental (all) + predicted (union)"
"ACSL6","predicted (union)"
"ACSM3","predicted (union)"
"ACSM4","predicted (union)"
"ACSS3","predicted (union)"
"ACTBL2","predicted (union)"
"ACTC1","predicted (union)"
"ACTG1","predicted (union)"
"ACTL6A","predicted (intersection) + predicted (union)"
"ACTN4","predicted (union)"
"ACTR2","predicted (intersection) + predicted (union)"
"ACTR3","predicted (union)"
"ACTR3C","predicted (union)"
"ACVR1","predicted (union)"
"ACVR1C","predicted (intersection) + predicted (union)"
"ACVR2A","predicted (union)"
"ACVR2B","predicted (intersection) + predicted (union)"
"ACYP2","predicted (union)"
"ADAD1","predicted (union)"
"ADAL","predicted (intersection) + predicted (union)"
"ADAM10","predicted (union)"
"ADAM12","predicted (union)"
"ADAM17","predicted (union)"
"ADAM18","predicted (union)"
"ADAM2","predicted (union)"
"ADAM22","predicted (union)"
"ADAM23","predicted (union)"
"ADAM28","predicted (union)"
"ADAM7","predicted (union)"
"ADAMTS1","predicted (union)"
"ADAMTS14","predicted (intersection) + predicted (union)"
"ADAMTS15","predicted (union)"
"ADAMTS17","predicted (union)"
"ADAMTS18","predicted (intersection) + predicted (union)"
"ADAMTS19","predicted (union)"
"ADAMTS4","predicted (intersection) + predicted (union)"
"ADAMTS5","predicted (intersection) + predicted (union)"
"ADAMTSL1","predicted (intersection) + predicted (union)"
"ADAMTSL3","predicted (union)"
"ADARB1","predicted (union)"
"ADARB2","predicted (union)"
"ADAT1","predicted (intersection) + predicted (union)"
"ADCY1","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"ADCY3","predicted (intersection) + predicted (union)"
"ADCY9","predicted (intersection) + predicted (union)"
"ADCYAP1","predicted (union)"
"ADCYAP1R1","predicted (union)"
"ADD1","predicted (intersection) + predicted (union)"
"ADD2","predicted (intersection) + predicted (union)"
"ADGRA1","predicted (union)"
"ADGRA3","predicted (union)"
"ADGRD2","predicted (intersection) + predicted (union)"
"ADGRE2","predicted (union)"
"ADGRE5","predicted (union)"
"ADGRF5","predicted (union)"
"ADGRG2","predicted (union)"
"ADGRG3","predicted (union)"
"ADGRG6","predicted (intersection) + predicted (union)"
"ADGRL2","predicted (intersection) + predicted (union)"
"ADGRL3","predicted (intersection) + predicted (union)"
"ADGRL4","predicted (union)"
"ADH5","predicted (union)"
"ADH6","predicted (union)"
"ADHFE1","predicted (union)"
"ADI1","predicted (union)"
"ADIPOR2","predicted (union)"
"ADM2","predicted (union)"
"ADNP","predicted (intersection) + predicted (union)"
"ADO","predicted (union)"
"ADPRHL1","predicted (union)"
"ADRA1A","predicted (intersection) + predicted (union)"
"ADRA1B","predicted (union)"
"ADRA1D","predicted (union)"
"ADRA2A","predicted (intersection) + predicted (union)"
"ADSL","predicted (intersection) + predicted (union)"
"AEBP2","predicted (union)"
"AEN","predicted (union)"
"AFDN","predicted (union)"
"AFF1","predicted (intersection) + predicted (union)"
"AFF2","predicted (intersection) + predicted (union)"
"AFF3","predicted (union)"
"AFF4","predicted (intersection) + predicted (union)"
"AFG1L","predicted (union)"
"AGAP1","predicted (intersection) + predicted (union)"
"AGBL4","predicted (union)"
"AGBL5","predicted (union)"
"AGER","predicted (union)"
"AGFG1","predicted (union)"
"AGK","predicted (union)"
"AGL","predicted (union)"
"AGO1","experimental (all) + predicted (intersection) + predicted (union)"
"AGO2","predicted (intersection) + predicted (union)"
"AGO3","predicted (union)"
"AGO4","predicted (union)"
"AGPAT3","predicted (intersection) + predicted (union)"
"AGPAT4","predicted (intersection) + predicted (union)"
"AGPAT5","predicted (union)"
"AGPS","predicted (union)"
"AGT","predicted (union)"
"AGTPBP1","predicted (intersection) + predicted (union)"
"AGTR2","predicted (union)"
"AGXT","predicted (union)"
"AGXT2","predicted (union)"
"AHCY","predicted (intersection) + predicted (union)"
"AHCYL1","predicted (union)"
"AHCYL2","predicted (intersection) + predicted (union)"
"AHDC1","predicted (union)"
"AHI1","predicted (union)"
"AHNAK","predicted (union)"
"AHR","predicted (union)"
"AIDA","predicted (union)"
"AIG1","predicted (intersection) + predicted (union)"
"AJAP1","predicted (union)"
"AJUBA","predicted (union)"
"AK2","predicted (intersection) + predicted (union)"
"AK3","predicted (intersection) + predicted (union)"
"AK4","predicted (union)"
"AK5","predicted (union)"
"AK9","predicted (union)"
"AKAIN1","predicted (union)"
"AKAP1","predicted (intersection) + predicted (union)"
"AKAP10","predicted (intersection) + predicted (union)"
"AKAP11","predicted (intersection) + predicted (union)"
"AKAP12","predicted (union)"
"AKAP13","predicted (union)"
"AKAP2","predicted (union)"
"AKAP5","predicted (intersection) + predicted (union)"
"AKAP6","predicted (union)"
"AKAP7","predicted (union)"
"AKIRIN1","predicted (intersection) + predicted (union)"
"AKR1C1","predicted (union)"
"AKR1C2","predicted (union)"
"AKR1E2","predicted (union)"
"AKR7A2","predicted (intersection) + predicted (union)"
"AKT3","predicted (union)"
"ALB","predicted (union)"
"ALDH1A1","predicted (intersection) + predicted (union)"
"ALDH1L1","predicted (union)"
"ALDH5A1","predicted (union)"
"ALDH6A1","predicted (union)"
"ALDH9A1","predicted (union)"
"ALG1","predicted (union)"
"ALG10B","predicted (intersection) + predicted (union)"
"ALG14","predicted (intersection) + predicted (union)"
"ALG2","predicted (union)"
"ALG6","predicted (union)"
"ALG8","predicted (union)"
"ALG9","predicted (intersection) + predicted (union)"
"ALKAL1","predicted (intersection) + predicted (union)"
"ALKAL2","predicted (union)"
"ALKBH1","predicted (union)"
"ALKBH4","experimental (all) + predicted (intersection) + predicted (union)"
"ALKBH5","predicted (union)"
"ALKBH8","predicted (intersection) + predicted (union)"
"ALPK3","predicted (union)"
"ALS2","predicted (union)"
"ALX4","predicted (union)"
"AMD1","experimental (all) + predicted (intersection) + predicted (union)"
"AMDHD2","predicted (union)"
"AMER2","predicted (intersection) + predicted (union)"
"AMER3","predicted (intersection) + predicted (union)"
"AMHR2","predicted (intersection) + predicted (union)"
"AMMECR1","predicted (union)"
"AMMECR1L","predicted (intersection) + predicted (union)"
"AMN1","predicted (union)"
"AMOT","predicted (intersection) + predicted (union)"
"AMPD3","predicted (union)"
"AMZ1","predicted (intersection) + predicted (union)"
"ANAPC7","predicted (union)"
"ANG","predicted (union)"
"ANGEL1","predicted (union)"
"ANGEL2","predicted (intersection) + predicted (union)"
"ANGPT1","predicted (union)"
"ANGPT2","predicted (union)"
"ANGPT4","predicted (intersection) + predicted (union)"
"ANGPTL1","predicted (union)"
"ANK1","predicted (union)"
"ANK2","predicted (union)"
"ANKEF1","predicted (union)"
"ANKFY1","predicted (union)"
"ANKH","predicted (union)"
"ANKIB1","predicted (union)"
"ANKRD10","predicted (intersection) + predicted (union)"
"ANKRD12","predicted (union)"
"ANKRD13A","predicted (union)"
"ANKRD13B","predicted (union)"
"ANKRD13C","predicted (union)"
"ANKRD17","predicted (union)"
"ANKRD22","predicted (union)"
"ANKRD24","predicted (union)"
"ANKRD27","predicted (union)"
"ANKRD28","predicted (union)"
"ANKRD29","predicted (intersection) + predicted (union)"
"ANKRD31","predicted (union)"
"ANKRD33B","predicted (intersection) + predicted (union)"
"ANKRD34C","predicted (intersection) + predicted (union)"
"ANKRD40","predicted (intersection) + predicted (union)"
"ANKRD44","predicted (union)"
"ANKRD46","predicted (union)"
"ANKRD49","predicted (intersection) + predicted (union)"
"ANKRD50","predicted (union)"
"ANKRD52","predicted (union)"
"ANKRD55","predicted (union)"
"ANKRD6","predicted (union)"
"ANKRD63","predicted (intersection) + predicted (union)"
"ANKS1A","predicted (union)"
"ANKS1B","predicted (union)"
"ANKS4B","predicted (union)"
"ANLN","predicted (union)"
"ANO1","predicted (union)"
"ANO3","predicted (union)"
"ANO5","predicted (intersection) + predicted (union)"
"ANO6","predicted (union)"
"ANOS1","predicted (intersection) + predicted (union)"
"ANP32A","predicted (intersection) + predicted (union)"
"ANP32B","predicted (union)"
"ANP32E","predicted (intersection) + predicted (union)"
"ANTXR1","predicted (union)"
"ANTXR2","predicted (intersection) + predicted (union)"
"ANXA10","predicted (union)"
"ANXA11","predicted (union)"
"ANXA4","predicted (intersection) + predicted (union)"
"ANXA6","predicted (union)"
"ANXA9","predicted (union)"
"AOPEP","predicted (intersection) + predicted (union)"
"AP1AR","predicted (union)"
"AP1G1","predicted (intersection) + predicted (union)"
"AP1S2","predicted (union)"
"AP2A2","predicted (intersection) + predicted (union)"
"AP3B1","predicted (union)"
"AP3M1","predicted (union)"
"AP3S2","predicted (intersection) + predicted (union)"
"AP4E1","predicted (union)"
"AP4S1","predicted (intersection) + predicted (union)"
"AP5B1","predicted (union)"
"AP5M1","predicted (intersection) + predicted (union)"
"APAF1","predicted (intersection) + predicted (union)"
"APBA1","experimental (all) + predicted (intersection) + predicted (union)"
"APBA2","predicted (union)"
"APBB2","predicted (intersection) + predicted (union)"
"APCDD1","predicted (union)"
"APH1B","predicted (intersection) + predicted (union)"
